# Prot. vs. RNA Profile Dissimilarity Measure Over Phase Shifts 
# Time series file:  C:\Users\Francis Motta\PycharmProjects\biochron\proteomics\data\wild-type_linearSpline_time-series.tsv 
# No. of Randomized Curves:  10000 
	shift_0	shift_1	shift_2	shift_3	shift_4	shift_5	shift_6	shift_7	shift_8	shift_9	shift_10	kt_diss_range	kt_diss	kt_diss_pval	est_delay	min_dist_flag	min_pval_flag
SWI5_1_p_r2	0.20689655172413793	0.14285714285714285	0.082010582010582	0.07977207977207977	0.13538461538461538	0.23333333333333334	0.35507246376811596	0.4426877470355731	0.5281385281385281	0.6285714285714286	0.7210526315789474	0.6412805518068676	0.07977207977207977	0.0	20.689655159999994	0.0	0.0
SWI5_3_p_r1	0.2988505747126437	0.2315270935960591	0.16137566137566137	0.09686609686609686	0.11076923076923077	0.19666666666666666	0.2898550724637681	0.35968379446640314	0.44155844155844154	0.5285714285714286	0.6105263157894737	0.5136602189233769	0.09686609686609686	0.0	20.689655159999994	0.0	0.0
SWI5_3_p_r2	0.2620689655172414	0.18719211822660098	0.12698412698412698	0.1111111111111111	0.12307692307692308	0.17333333333333334	0.2427536231884058	0.3201581027667984	0.41125541125541126	0.5095238095238095	0.6	0.4888888888888889	0.1111111111111111	0.0	20.689655159999994	0.0	0.0
CDC28_1_p_r1	0.4206896551724138	0.4014778325123153	0.3915343915343915	0.41025641025641024	0.4276923076923077	0.45	0.5108695652173914	0.5612648221343873	0.5584415584415584	0.5523809523809524	0.5263157894736842	0.16973043059999582	0.3915343915343915	0.544	13.793103439999996	0.0	0.0
CDC28_1_p_r2	0.4367816091954023	0.41379310344827586	0.3862433862433862	0.36182336182336183	0.36	0.38	0.427536231884058	0.48616600790513836	0.5238095238095238	0.5095238095238095	0.5	0.16380952380952385	0.36	0.2579	27.58620687999999	1.0	1.0
CDC28_2_p_r1	0.41379310344827586	0.4014778325123153	0.4021164021164021	0.43304843304843305	0.4461538461538462	0.4666666666666667	0.5217391304347826	0.5612648221343873	0.5497835497835498	0.5047619047619047	0.4842105263157895	0.15978698962207205	0.4014778325123153	0.6218	6.896551719999998	0.0	0.0
CDC28_2_p_r2	0.39770114942528734	0.3842364532019704	0.4021164021164021	0.39316239316239315	0.40923076923076923	0.4766666666666667	0.5398550724637681	0.5928853754940712	0.5627705627705628	0.5047619047619047	0.4631578947368421	0.20864892229210075	0.3842364532019704	0.4645	6.896551719999998	0.0	0.0
ELM1_1_p_r1	0.4482758620689655	0.4729064039408867	0.48412698412698413	0.50997150997151	0.5230769230769231	0.5466666666666666	0.5181159420289855	0.391304347826087	0.354978354978355	0.38095238095238093	0.34210526315789475	0.2045614035087719	0.34210526315789475	0.1433	68.96551719999998	0.0	0.0
ELM1_1_p_r2	0.432183908045977	0.4088669950738916	0.35714285714285715	0.2934472934472934	0.3476923076923077	0.36333333333333334	0.39855072463768115	0.4901185770750988	0.5800865800865801	0.5904761904761905	0.6578947368421053	0.3644474433948119	0.2934472934472934	0.0208	20.689655159999994	0.0	0.0
ELM1_2_p_r1	0.6988505747126437	0.6995073891625616	0.6746031746031746	0.6524216524216524	0.6061538461538462	0.5566666666666666	0.4963768115942029	0.4268774703557312	0.35064935064935066	0.29523809523809524	0.2789473684210526	0.420560020741509	0.2789473684210526	0.0104	68.96551719999998	1.0	1.0
