pro	pep	rep	conf	qc1	qc2	qc3	qc4	qc5	mean	std	cov
PCL2	2	r1	high	0.003786896	0.00251011	0.003663442	0.004271814	0.003283258	0.003503104	0.000657938178205217	0.187815770872123
PCL2	2	r2	high	0.00542149	0.005640283	0.004880147	0.00635047	0.006584983	0.0057754746	0.000694823167568771	0.120305813061453
PDS1	2	r1	high	0.007583581	0.002794541	0.002694799	0.004113348	0.003797212	0.0041966962	0.00199118417036313	0.474464692098305
PDS1	2	r2	high	0.009236465	0.009260461	0.007403821	0.008994906	0.008378956	0.0086549218	0.000784517336803783	0.0906440699214385
PDS1	3	r2	medium	0.000145866	0.000155682	0.000355589	0.000263913	0.000115479	0.0002073058	0.000100080354519256	0.482766784717341
PHD1	1	r1	high	0.003151536	0.002649275	0.003108315	0.003686325	0.002423914	0.003003873	0.000490037092606774	0.163135090134228
PHD1	1	r2	high	0.002667059	0.002048427	0.00225581	0.002853321	0.002563703	0.002477664	0.000323208507267368	0.130448885428923
PLM2	1	r1	high	0.00158081	0.001611012	0.001406722	0.001430086	0.00147209	0.001500144	9.11338813833802e-05	0.0607500889137177
PLM2	1	r2	high	0.000836867	0.001233693	0.000802819	0.001193107	0.001140631	0.0010414234	0.000205300415228026	0.197134436606693
PLM2	2	r1	high	0.000266451	0.000199502	0.000305412	0.000196757	0.000447682	0.0002831608	0.000102842075580474	0.363193194751796
PLM2	2	r2	high	0.00025264	0.000177598	0.000369741	0.000248296	0.000354577	0.0002805704	8.03950123595985e-05	0.286541318541081
RIM11	2	r1	high	0.031278958	0.037410335	0.031389301	0.038274104	0.035371371	0.0347448138	0.00328728950222272	0.0946123793077492
RIM11	2	r2	high	0.076321852	0.068072103	0.06525152	0.065373469	0.067409137	0.0684856162	0.00455195646324552	0.0664658758410284
SFG1	1	r2	medium	0.000372201	0	0.0005587	0.000542091	0.000110744	0.0003167472	0.00025256791991403	0.797380118637293
SFG1	2	r1	medium	0.004317428	0.002673619	0.003708624	0.001668212	0.001822741	0.0028381248	0.00115897251842643	0.408358546610223
SFG1	2	r2	high	0.00167264	0.001268983	0.002713146	0.004204845	0.001140563	0.0022000354	0.00127965134567323	0.581650343295943
SIC1	1	r1	high	0.013960966	0.011052086	0.011132663	0.010659025	0.01241129	0.011843206	0.00135468203821653	0.114384739927392
SIC1	1	r2	high	0.014015148	0.013990928	0.013050143	0.013369975	0.014120224	0.0137092836	0.000472055417348747	0.0344332666185961
SIC1	2	r1	high	0.006156857	0.004193009	0.005824882	0.00605137	0.01099726	0.0066446756	0.00256016113481052	0.385295127848005
SIC1	2	r2	medium	0.007400281	0.009350903	0.002489601	0	0	0.003848157	0.00431161505268983	1.12043636803016
STB1	1	r1	medium	1.445134736	1.42255984	1.380983718	1.59235166	1.037714034	1.3757487976	0.205071565515431	0.149061780663141
STB1	1	r2	medium	1.122734017	0.649464243	0.913527978	0.920675105	0.829909393	0.8872621472	0.171092447773057	0.192831902401096
