,AS1501_3D7,AS1502_3D7,AS1503_3D7,AS1504_3D7,AS1505_3D7,AS1506_3D7,AS1507_3D7,AS1508_3D7,AS1509_3D7,AS1510_3D7,AS1511_3D7,AS1512_3D7,AS1513_3D7,AS1514_3D7,AS1515_3D7,AS1516_3D7
PF3D7_1452700,26.22254732,28.87825085,30.39599364,42.65705206,43.57898929,55.26153665,50.76102909,59.98738297,82.08428235,105.4852692,125.2192554,159.7821104,209.3359818,233.4635892,219.1490804,217.3620888
PF3D7_1452800,0.508991565,3.925797629,1.345410348,1.530450898,1.747090958,3.43935118,2.067146821,2.709599628,2.148809273,1.986263032,6.102934959,7.576044963,8.740062299,10.67170055,10.24933499,11.05556537
PF3D7_1452900,1.777148619,4.681170808,2.831090006,1.606768635,1.715620433,5.190877409,3.6190415,3.778093328,2.192314343,3.839048418,3.587647563,5.101424163,8.44005813,10.39721369,33.72921974,37.01693269
PF3D7_1453000,13.45848215,52.52588404,53.67882332,37.13806599,36.7142948,39.50596455,24.12315981,24.49828349,17.65040432,18.08978164,23.266634,21.88915204,23.89063404,22.68491332,22.80137198,23.50685027
PF3D7_1453100,0.391580234,0.666224241,1.027447878,0.402153142,0.711572704,0.289823461,0.774574001,1.304246125,0.928230294,1.235949461,1.262559734,1.851388484,2.028224018,1.838894151,3.79780954,4.149294094
PF3D7_1453200,1.136725147,1.278584965,0.967856817,0.848123773,0.937922745,1.059457154,1.47729145,3.766205171,3.367068524,3.450143608,4.676339593,4.497404529,6.154272586,8.280100147,14.01979091,18.37251177
PF3D7_1453300,2.265122637,10.10021906,10.94565577,5.60246332,6.560099653,15.83364538,12.14301104,9.865885776,3.694666554,4.787954394,6.466519417,9.552594644,13.05927913,8.219661459,3.086510018,7.471435798
PF3D7_1453400,4.313524211,18.20076841,20.5885282,13.50565696,15.7815934,19.7706599,11.4976769,12.36070255,9.17623326,9.308199121,12.12455586,11.06428077,13.11357967,11.50567477,11.90982723,12.86365112
PF3D7_1453500,2.000505507,4.857493583,4.149539285,2.188317861,2.193512034,2.27886111,1.011057844,1.111576954,1.279626129,0.987881316,1.226825646,1.525579299,1.786358488,2.150939447,2.153826305,1.705761711
PF3D7_1453600,1.987341085,5.151329979,5.308758501,4.307721865,7.067148255,6.551560653,5.232540244,6.0029539,4.973860798,6.177950603,8.005408669,9.275217143,12.4539823,11.14924532,9.110807719,9.591290285
PF3D7_1453700,2311.517984,2757.345957,2855.816568,3292.886026,2870.727602,2836.164439,2903.125561,2829.889727,2985.318923,3126.729047,3505.118276,3935.708694,4854.550437,4563.128183,3125.188313,2971.492884
PF3D7_1453800,79.150206,169.1932771,143.8021765,109.149638,120.4650539,130.751845,93.30524399,93.53458961,75.3886607,69.74674577,73.21256997,70.79078959,73.78277684,77.49730211,97.43851247,97.1614708
