# RNA vs. RNA Profile Dissimilarity Measure Over Phase Shifts 
# Time series file 1:  /Users/haase-admin/Desktop/moseley/DLxJTK_TAKT_runs_avg/Data/AS_FUP_1stage_periodic_jtk05.txt 
# Time series file 2:  /Users/haase-admin/Desktop/moseley/DLxJTK_TAKT_runs_avg/Data/AA_FUP_1stage_periodic_jtk05.txt 
# No. of Randomized Curves:  10000 
	shift_0	shift_1	shift_2	shift_3	shift_4	shift_5	shift_6	shift_7	shift_8	shift_9	shift_10	shift_11	shift_12	shift_13	shift_14	kt_diss_range	kt_diss	kt_diss_pval	est_delay	min_dist_flag	min_pval_flag
PF3D7_0905300	0.058333333333333334	0.09523809523809523	0.13186813186813187	0.1794871794871795	0.22727272727272727	0.2727272727272727	0.3333333333333333	0.4166666666666667	0.5	0.6190476190476191	0.7333333333333333	0.9	0.8333333333333334	0.3333333333333333	0.0	0.9	0.0	0.0	42.0	0.0	0.0
PF3D7_1312500	0.058333333333333334	0.17142857142857143	0.31868131868131866	0.4358974358974359	0.5606060606060606	0.6909090909090909	0.7777777777777778	0.8888888888888888	0.9285714285714286	0.9047619047619048	0.9333333333333333	0.9	0.8333333333333334	1.0	1.0	0.9416666666666667	0.058333333333333334	0.5935	0.0	0.0	0.0
PF3D7_0406200	0.058333333333333334	0.17142857142857143	0.2967032967032967	0.46153846153846156	0.6212121212121212	0.7454545454545455	0.8444444444444444	0.9444444444444444	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9416666666666667	0.058333333333333334	0.6069	0.0	0.0	0.0
PF3D7_1240000	0.041666666666666664	0.10476190476190476	0.12087912087912088	0.14102564102564102	0.16666666666666666	0.16363636363636364	0.15555555555555556	0.2222222222222222	0.2857142857142857	0.38095238095238093	0.5333333333333333	0.5	1.0	0.0	1.0	1.0	0.0	0.0	39.0	0.0	0.0
PF3D7_1001500	0.03333333333333333	0.14285714285714285	0.25274725274725274	0.3717948717948718	0.4696969696969697	0.509090909090909	0.5777777777777777	0.6944444444444444	0.7142857142857143	0.6190476190476191	0.4666666666666667	0.2	0.16666666666666666	0.3333333333333333	1.0	0.9666666666666667	0.03333333333333333	0.6067	0.0	0.0	0.0
PF3D7_0516700	0.125	0.24761904761904763	0.3956043956043956	0.5256410256410257	0.6212121212121212	0.6909090909090909	0.7777777777777778	0.8333333333333334	0.7142857142857143	0.5238095238095238	0.3333333333333333	0.2	0.0	0.0	0.0	0.8333333333333334	0.0	0.0	36.0	0.0	0.0
PF3D7_0308400	0.075	0.2	0.1978021978021978	0.1794871794871795	0.2878787878787879	0.3090909090909091	0.37777777777777777	0.5	0.6428571428571429	0.8571428571428571	0.6	0.7	0.5	0.0	0.0	0.8571428571428571	0.0	0.0	39.0	0.0	0.0
PF3D7_1362400	0.058333333333333334	0.34285714285714286	0.45054945054945056	0.5769230769230769	0.6666666666666666	0.7272727272727273	0.6888888888888889	0.6944444444444444	0.6785714285714286	0.6666666666666666	0.4666666666666667	0.3	0.0	0.0	0.0	0.7272727272727273	0.0	0.0	36.0	0.0	0.0
PF3D7_0420900	0.08333333333333333	0.14285714285714285	0.18681318681318682	0.23076923076923078	0.3484848484848485	0.38181818181818183	0.5111111111111111	0.5833333333333334	0.75	0.8571428571428571	0.8666666666666667	0.7	0.8333333333333334	0.3333333333333333	0.0	0.8666666666666667	0.0	0.0	42.0	0.0	0.0
PF3D7_1358200	0.13333333333333333	0.2857142857142857	0.3516483516483517	0.3076923076923077	0.36363636363636365	0.4	0.5333333333333333	0.5555555555555556	0.6071428571428571	0.47619047619047616	0.2	0.4	0.6666666666666666	1.0	1.0	0.8666666666666667	0.13333333333333333	0.6286	0.0	0.0	0.0
