pro	pep	rep	conf	qc1	qc2	qc3	qc4	qc5	mean	std	cov
TOS4	2	r1	high	0.025756128	0.049716437	0.044933095	0.051190922	0.033275433	0.040974403	0.0110379084785333	0.269385461907359
TOS4	2	r2	high	0.062023026	0.054226716	0.033202869	0.030844654	0.029147146	0.0418888822	0.0151441369238242	0.361531177927307
UME6	1	r1	low	0.005180462	0.013080283	0.002606557	0.047060747	0.02073484	0.0177325778	0.0178686250880288	1.00767216642516
UME6	1	r2	low	0.010868479	0.003909618	0.009944866	0.002119641	0.001760626	0.005720646	0.00436672179762743	0.763326693808256
UME6	2	r1	medium	0.017602271	0.012889037	0.016557003	0.010939169	0.015213861	0.0146402682	0.00271759487346094	0.18562466454412
UME6	2	r2	high	0.017923267	0.023952472	0.023119801	0.019399895	0.018106875	0.020500462	0.00284428155924761	0.138742315136488
WHI5	1	r1	high	0.003280439	0.003035025	0.004592254	0.006111361	0.010150414	0.0054338986	0.00290709568350309	0.534992626381194
WHI5	1	r2	high	0.003438778	0.003549676	0.009613933	0.003010107	0.003860045	0.0046945078	0.00276684728973785	0.589379634162681
WHI5	2	r1	high	0.014236014	0.016534813	0.015467029	0.015623924	0.016758396	0.0157240352	0.00100219065506554	0.0637362256137369
WHI5	2	r2	high	0.027006624	0.022101627	0.023014788	0.022041522	0.022144463	0.0232618048	0.00213121112737493	0.0916184769710958
YHP1	2	r1	low	0.019043703	0	0.010805997	0	0.015978642	0.0091656684	0.00886991839289671	0.967732848910038
YHP1	2	r2	low	0.008908033	0.008528039	0.007602758	0.011862946	0.013527669	0.010085889	0.00249919797595379	0.247791540830341
YHP1	3	r1	low	0.004176007	0.005761921	0.008231712	0.001894646	0.012361066	0.0064850704	0.00401574389690519	0.619229036727989
YHP1	3	r2	low	0.009264487	0.009285737	0.004891638	0.009518369	0.007904201	0.0081728864	0.00194159307409014	0.237565161078238
YHP1	4	r1	medium	0.00124908	0.001470107	0.001606118	0.00182738	0.000975564	0.0014256498	0.000327752379498914	0.229896836866188
YHP1	4	r2	medium	0.003142308	0.002025975	0.0006794	0.001292354	0.000236678	0.001475343	0.00114926815041617	0.778983701021504
YHP1	5	r1	high	0.007057607	0.007423443	0.007440997	0.006962108	0.005740531	0.0069249372	0.00069581368566104	0.100479421771657
YHP1	5	r2	high	0.010852353	0.008598346	0.008954335	0.006088814	0.007697013	0.0084381722	0.00174564812670329	0.206875148471524
YOX1	1	r1	high	0.004356365	0.004976203	0.003764389	0.000692218	0.004065029	0.0035708408	0.00167034751544378	0.467774288745602
YOX1	1	r2	high	0.006947062	0.008908745	0.007747838	0.005232854	0.005606513	0.0068886024	0.00151722900868402	0.220252080259999
YOX1	2	r1	medium	0.001100838	0	0	0.001024298	0.000677924	0.000560612	0.000535999667001762	0.956097384647068
YOX1	2	r2	medium	0	0	0.000676762	0.000622176	0	0.0002597876	0.000356251945275812	1.3713200525191
