# RNA vs. RNA Profile Dissimilarity Measure Over Phase Shifts 
# Time series file 1:  /Users/haase-admin/Desktop/moseley/DLxJTK_TAKT_runs_avg/Data/AS_3D7_1stage_periodic_jtk05.txt 
# Time series file 2:  /Users/haase-admin/Desktop/moseley/DLxJTK_TAKT_runs_avg/Data/AS_FUP_1stage_periodic_jtk05.txt 
# No. of Randomized Curves:  10000 
	shift_0	shift_1	shift_2	shift_3	shift_4	shift_5	shift_6	shift_7	shift_8	shift_9	shift_10	shift_11	shift_12	shift_13	shift_14	kt_diss_range	kt_diss	kt_diss_pval	est_delay	min_dist_flag	min_pval_flag
PF3D7_1233400	0.2	0.17142857142857143	0.27472527472527475	0.32051282051282054	0.36363636363636365	0.41818181818181815	0.5111111111111111	0.5555555555555556	0.5357142857142857	0.8095238095238095	0.5333333333333333	0.6	0.5	0.3333333333333333	0.0	0.8095238095238095	0.0	0.0	42.0	0.0	0.0
PF3D7_0208300	0.125	0.18095238095238095	0.24175824175824176	0.2692307692307692	0.3333333333333333	0.34545454545454546	0.4222222222222222	0.3333333333333333	0.5357142857142857	0.6190476190476191	0.7333333333333333	0.8	0.8333333333333334	0.3333333333333333	0.0	0.8333333333333334	0.0	0.0	42.0	0.0	0.0
PF3D7_1225500	0.25833333333333336	0.22857142857142856	0.2087912087912088	0.20512820512820512	0.21212121212121213	0.21818181818181817	0.24444444444444444	0.2222222222222222	0.35714285714285715	0.47619047619047616	0.3333333333333333	0.6	0.8333333333333334	0.6666666666666666	0.0	0.8333333333333334	0.0	0.0	42.0	0.0	0.0
PF3D7_1315900	0.26666666666666666	0.3047619047619048	0.31868131868131866	0.2692307692307692	0.3787878787878788	0.43636363636363634	0.5777777777777777	0.5	0.6785714285714286	0.8571428571428571	0.6666666666666666	0.5	0.5	0.3333333333333333	0.0	0.8571428571428571	0.0	0.0	42.0	0.0	0.0
PF3D7_1125700	0.10833333333333334	0.13333333333333333	0.24175824175824176	0.358974358974359	0.48484848484848486	0.6545454545454545	0.8444444444444444	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8916666666666666	0.10833333333333334	0.6313	0.0	0.0	0.0
PF3D7_1316400	0.35833333333333334	0.29523809523809524	0.2087912087912088	0.1282051282051282	0.2878787878787879	0.4	0.4444444444444444	0.5277777777777778	0.75	0.7142857142857143	0.6666666666666666	0.4	0.3333333333333333	0.3333333333333333	0.0	0.75	0.0	0.0	42.0	0.0	0.0
PF3D7_1346800	0.2	0.22857142857142856	0.2967032967032967	0.32051282051282054	0.3787878787878788	0.45454545454545453	0.5777777777777777	0.6944444444444444	0.8214285714285714	0.8571428571428571	0.9333333333333333	0.9	0.8333333333333334	0.6666666666666666	1.0	0.8	0.2	0.6969	0.0	0.0	0.0
PF3D7_1419700	0.225	0.22857142857142856	0.16483516483516483	0.1794871794871795	0.19696969696969696	0.18181818181818182	0.2	0.05555555555555555	0.14285714285714285	0.19047619047619047	0.26666666666666666	0.4	0.5	0.6666666666666666	1.0	0.9444444444444444	0.05555555555555555	0.6071	21.0	0.0	0.0
PF3D7_0917600	0.16666666666666666	0.23809523809523808	0.24175824175824176	0.23076923076923078	0.25757575757575757	0.2909090909090909	0.3333333333333333	0.2777777777777778	0.32142857142857145	0.47619047619047616	0.6	0.5	0.16666666666666666	0.6666666666666666	1.0	0.8333333333333334	0.16666666666666666	0.6394	0.0	0.0	0.0
PF3D7_0720700	0.10833333333333334	0.17142857142857143	0.2967032967032967	0.38461538461538464	0.4696969696969697	0.5636363636363636	0.6666666666666666	0.8055555555555556	0.7142857142857143	0.6666666666666666	0.4666666666666667	0.5	0.16666666666666666	0.0	0.0	0.8055555555555556	0.0	0.0	39.0	0.0	0.0
PF3D7_0724500	0.05	0.11428571428571428	0.15384615384615385	0.0641025641025641	0.12121212121212122	0.14545454545454545	0.13333333333333333	0.16666666666666666	0.21428571428571427	0.2857142857142857	0.26666666666666666	0.3	0.3333333333333333	0.6666666666666666	1.0	0.95	0.05	0.5978	0.0	0.0	0.0
PF3D7_1313800	0.058333333333333334	0.10476190476190476	0.15384615384615385	0.1282051282051282	0.16666666666666666	0.18181818181818182	0.24444444444444444	0.3055555555555556	0.39285714285714285	0.5238095238095238	0.6666666666666666	0.7	0.6666666666666666	0.3333333333333333	0.0	0.7	0.0	0.0	42.0	0.0	0.0
PF3D7_0813000	0.175	0.14285714285714285	0.23076923076923078	0.2692307692307692	0.36363636363636365	0.4727272727272727	0.6	0.6388888888888888	0.5714285714285714	0.7142857142857143	0.8666666666666667	0.9	0.6666666666666666	0.3333333333333333	0.0	0.9	0.0	0.0	42.0	0.0	0.0
PF3D7_1251100	0.14166666666666666	0.23809523809523808	0.2967032967032967	0.23076923076923078	0.36363636363636365	0.4727272727272727	0.4444444444444444	0.5555555555555556	0.6428571428571429	0.5238095238095238	0.5333333333333333	0.7	0.5	0.3333333333333333	0.0	0.7	0.0	0.0	42.0	0.0	0.0
PF3D7_0701900	0.15	0.08571428571428572	0.03296703296703297	0.05128205128205128	0.09090909090909091	0.14545454545454545	0.17777777777777778	0.2222222222222222	0.2857142857142857	0.38095238095238093	0.5333333333333333	0.7	0.8333333333333334	0.6666666666666666	1.0	0.967032967032967	0.03296703296703297	0.6074	6.0	0.0	0.0
PF3D7_0905300	0.075	0.13333333333333333	0.16483516483516483	0.19230769230769232	0.22727272727272727	0.2727272727272727	0.3333333333333333	0.4166666666666667	0.4642857142857143	0.6190476190476191	0.8666666666666667	0.7	0.6666666666666666	0.3333333333333333	0.0	0.8666666666666667	0.0	0.0	42.0	0.0	0.0
PF3D7_0622900	0.175	0.08571428571428572	0.14285714285714285	0.15384615384615385	0.21212121212121213	0.2545454545454545	0.3111111111111111	0.3888888888888889	0.5	0.6666666666666666	0.6	0.9	0.6666666666666666	0.3333333333333333	0.0	0.9	0.0	0.0	42.0	0.0	0.0
