	dl_reg_pval	dl_reg_pval_norm	jtk_per_pval	jtk_per_pval_norm	dlxjtk_score
PF3D7_1313600	0.000656	0.0008980150581793292	2.0695381558476795e-06	0.00010650729764981902	1.7473632253489274e-07
PF3D7_0207800	1.8e-05	2.4640657084188917e-05	3.516389639901545e-05	0.0018096847210643985	1.9074393779421093e-07
PF3D7_0317200	0.000364	0.0004982888432580424	5.735652685057448e-06	0.00029518125385476554	1.996035737796094e-07
PF3D7_0723800	0.001213	0.0016605065023956194	6.804813352432401e-07	3.502048411772911e-05	2.18760449596138e-07
PF3D7_1223100	0.003261	0.004464065708418892	5.124670303241732e-08	2.637374835551126e-06	2.463943522112643e-07
PF3D7_0504600	0.000176	0.0002409308692676249	1.4691891552010599e-05	0.0007561076668953307	3.029358368936917e-07
PF3D7_1113000	0.000482	0.0006598220396988366	5.735652685057448e-06	0.00029518125385476554	3.0392067802425236e-07
PF3D7_1312600	0.000182	0.0002491444216290213	1.4691891552010599e-05	0.0007561076668953307	3.144549801168635e-07
PF3D7_0321100	0.000194	0.00026557152635181384	1.4691891552010599e-05	0.0007561076668953307	3.37856750424189e-07
PF3D7_1320700	0.0009550000000000001	0.0013073237508555784	2.0695381558476795e-06	0.00010650729764981902	3.814921733997987e-07
PF3D7_1133200	0.000234	0.00032032854209445585	1.4691891552010599e-05	0.0007561076668953307	4.1973064261552827e-07
PF3D7_0805700	4.4e-05	6.023271731690624e-05	3.516389639901545e-05	0.0018096847210643985	4.676706000442159e-07
PF3D7_0308100	4.5e-05	6.160164271047231e-05	3.516389639901545e-05	0.0018096847210643985	4.783789607683735e-07
PF3D7_1110700	0.000275	0.000376454483230664	1.4691891552010599e-05	0.0007561076668953307	5.107687023053273e-07
PF3D7_1017100	0.001097	0.001501711156741958	2.0695381558476795e-06	0.00010650729764981902	5.265429261597368e-07
PF3D7_1345600	0.000661	0.0009048596851471595	5.735652685057448e-06	0.00029518125385476554	5.281172019930163e-07
PF3D7_1317100	0.000293	0.00040109514031485286	1.4691891552010599e-05	0.0007561076668953307	5.533331480592244e-07
PF3D7_0111000	0.000686	0.0009390828199863108	5.735652685057448e-06	0.00029518125385476554	5.671083817000779e-07
