,ORF,dtw_score,cost
1166,PF3D7_1207700,1.6658430013183136,1.6658430013183136
1167,PF3D7_1228400,1.6655462803136774,1.6655462803136774
1168,PF3D7_1419100,1.664397052910553,1.664397052910553
1169,PF3D7_1449800,1.6637545991014162,1.6637545991014162
1170,PF3D7_1006600,1.663711406804289,1.663711406804289
1171,PF3D7_1363300,1.6634123992130954,1.6634123992130954
1172,PF3D7_1005600,1.6634109533808608,1.6634109533808608
1173,PF3D7_0711200,1.6633785676720383,1.6633785676720383
1174,PF3D7_0511400,1.6617551750671182,1.6617551750671182
1175,PF3D7_1013400,1.6616720011673038,1.6616720011673038
1176,PF3D7_1442600,1.659807969467145,1.659807969467145
1177,PF3D7_0106700,1.6582939984656517,1.6582939984656517
1178,PF3D7_1120600,1.6571307369057813,1.6571307369057813
1179,PF3D7_1312100,1.6566842479256854,1.656837910742655
1180,PF3D7_1424400,1.6558339403680775,1.6558339403680775
1181,PF3D7_1445800,1.655796250680974,1.655796250680974
1182,PF3D7_0825500,1.6550143065180167,1.6550143065180167
1183,PF3D7_1120500,1.654027792739925,1.654027792739925
1184,PF3D7_1453700,1.6534794182554478,1.6534794182554478
1185,PF3D7_0620600,1.6516865573542585,1.6516865573542585
1186,PF3D7_0922400,1.6502084914534776,1.6502084914534776
1187,PF3D7_1326800,1.650059509337284,1.650059509337284
1188,PF3D7_1455000,1.6494221802048055,1.6494221802048055
1189,PF3D7_0818900,1.649163125191788,1.649163125191788
1190,PF3D7_1467300,1.6488769466001707,1.6488769466001707
1191,PF3D7_1430000,1.6483893001168337,1.6483893001168337
1192,PF3D7_1126900,1.6467507442160718,1.6467507442160718
1193,PF3D7_1432900,1.646628004058164,1.646628004058164
1194,PF3D7_0406400,1.646378839856646,1.7068764539346588
1195,PF3D7_0926700,1.645950406678779,1.645950406678779
1196,PF3D7_1357800,1.6457596995722974,1.6457596995722974
1197,PF3D7_1469800,1.6450420553248972,1.6450420553248972
1198,PF3D7_1027300,1.644952544948495,1.644952544948495
1199,PF3D7_1407200,1.6442376424761758,1.6442376424761758
1200,PF3D7_0711300,1.6439027563957298,1.6439027563957298
1201,PF3D7_0922800,1.6423270333270912,1.6423270333270912
1202,PF3D7_0212600,1.6416601270468092,1.6416601270468092
1203,PF3D7_1203200,1.6413620361402566,1.8171605313246189
1204,PF3D7_1239300,1.6403839632074424,1.6403839632074424
1205,PF3D7_1463700,1.6401769368939463,1.6401769368939463
1206,PF3D7_1344900,1.6401198272174808,1.6401198272174808
1207,PF3D7_1225600,1.6394857355218857,1.6394857355218857
1208,PF3D7_1427200,1.6383768530565566,1.6442446767857857
1209,PF3D7_1450200,1.6379712862808578,1.6379712862808578
1210,PF3D7_0605800,1.6374528455268833,1.6374528455268833
1211,PF3D7_0219400.2,1.6373631391009191,1.6373631391009191
1212,PF3D7_1220400,1.6372331554338169,1.6372331554338169
1213,PF3D7_1244100,1.637140091779252,1.637140091779252
1214,PF3D7_1223200,1.6362300593336703,1.6362300593336703
1215,PF3D7_1464200,1.6356287042882143,1.6356287042882143
1216,PF3D7_1118000,1.6356191298747018,1.6356191298747018
1217,PF3D7_0302000,1.6350716306494844,1.6350716306494844
1218,PF3D7_0906300,1.6338989853139612,1.6338989853139612
1219,PF3D7_0403200,1.6335929074034587,1.6335929074034587
1220,PF3D7_0621800,1.6330694609567415,1.6330694609567415
1221,PF3D7_0408200,1.6328833333901664,1.6328833333901664
1222,PF3D7_0531000,1.6328007859501028,1.6328007859501028
1223,PF3D7_0605600,1.6316135955852915,1.6316135955852915
1224,PF3D7_0627400,1.6309441199591688,1.6309441199591688
1225,PF3D7_1438000,1.6306861556372443,1.6306861556372443
1226,PF3D7_1408100,1.6271328256857314,1.6271328256857314
1227,PF3D7_1436500,1.626987081780185,1.626987081780185
1228,PF3D7_1423500,1.6268170636589672,1.6268170636589672
1229,PF3D7_0519200,1.625618996947023,1.625618996947023
1230,PF3D7_0926800,1.6253529748949178,1.6253529748949178
1231,PF3D7_0620300,1.6248476949646484,1.6248476949646484
1232,PF3D7_0513400,1.624029864570385,1.624029864570385
1233,PF3D7_1472900,1.6232230411645692,1.6232230411645692
1234,PF3D7_0914600,1.6231465465497525,1.6231465465497525
1235,PF3D7_0607400,1.6227515419539977,1.6227515419539977
1236,PF3D7_1034000,1.6217891865984166,1.6217891865984166
1237,PF3D7_1315700,1.6207401792642764,1.6207401792642764
1238,PF3D7_0607500,1.6204687184025601,1.6204687184025601
1239,PF3D7_0502700,1.6204006005717468,1.6204006005717468
1240,PF3D7_1470300,1.6194013822729523,1.6194013822729523
1241,PF3D7_1461900,1.618225608125437,1.618225608125437
1242,PF3D7_1340600,1.6179552950290497,1.6179552950290497
1243,PF3D7_0928400,1.6178559623389595,1.6241142348402575
1244,PF3D7_1110900,1.6174664838123094,1.6174664838123094
1245,PF3D7_1404500,1.6165811603707192,1.6165811603707192
1246,PF3D7_1405200,1.6163782192509777,1.6624598961146004
1247,PF3D7_1440700,1.616190615883759,1.616190615883759
1248,PF3D7_1015200.2,1.615668181764906,1.615668181764906
1249,PF3D7_1236300,1.615099259263505,1.615099259263505
1250,PF3D7_0619000.2,1.6148572129910437,1.6148572129910437
1251,PF3D7_1010600,1.6147381524508875,1.6147381524508875
1252,PF3D7_1367700,1.611488290313656,1.611488290313656
1253,PF3D7_1222500,1.6109026437489786,1.6109026437489786
1254,PF3D7_1202300,1.6107394360374765,1.6107394360374765
1255,PF3D7_1007600,1.6095931009273419,1.6095931009273419
1256,PF3D7_1038000.1,1.609364006135223,1.609364006135223
1257,PF3D7_0211900,1.608652229879375,1.608652229879375
1258,PF3D7_0304000,1.6079844508873709,1.6079844508873709
1259,PF3D7_1244900,1.6071626884159238,1.6071626884159238
1260,PF3D7_0307100,1.6064073470914513,1.6064073470914513
1261,PF3D7_1316100,1.6062294520747749,1.6062294520747749
1262,PF3D7_1342600,1.6061734731703363,1.6061734731703363
1263,PF3D7_1450300,1.6059735328705034,1.6059735328705034
1264,PF3D7_0728800,1.6056965461924464,1.605972825933402
1265,PF3D7_0321500,1.6056083251870163,1.6056083251870163
1266,PF3D7_1105400,1.6050480294078397,1.6050480294078397
1267,PF3D7_0217600,1.6040645665084245,1.6040645665084245
1268,PF3D7_0308600,1.6029815306097537,1.6029815306097537
1269,PF3D7_0322500,1.6027427615689755,1.6027427615689755
