# Prot. vs. RNA Profile Dissimilarity Measure Over Phase Shifts 
# Time series file:  C:\Users\Francis Motta\PycharmProjects\biochron\proteomics\data\clb1-6_linearSpline_time-series.tsv 
# No. of Randomized Curves:  10000 
	shift_0	shift_1	shift_2	shift_3	shift_4	shift_5	shift_6	shift_7	shift_8	shift_9	shift_10	kt_diss_range	kt_diss	kt_diss_pval	est_delay	min_dist_flag	min_pval_flag
NRM1_1_p_r2	0.35714285714285715	0.31339031339031337	0.25846153846153846	0.22333333333333333	0.2536231884057971	0.308300395256917	0.35064935064935066	0.3619047619047619	0.45263157894736844	0.5087719298245614	0.5882352941176471	0.36490196078431375	0.22333333333333333	0.0013	20.689655189999996	0.0	0.0
NRM1_2_p_r1	0.43915343915343913	0.3504273504273504	0.2553846153846154	0.18666666666666668	0.18478260869565216	0.2648221343873518	0.37662337662337664	0.5380952380952381	0.6105263157894737	0.6081871345029239	0.6078431372549019	0.42574370709382153	0.18478260869565216	0.0004	27.586206919999995	0.0	0.0
NRM1_2_p_r2	0.3439153439153439	0.2934472934472934	0.2153846153846154	0.17	0.2536231884057971	0.3438735177865613	0.4329004329004329	0.4857142857142857	0.4631578947368421	0.45614035087719296	0.5032679738562091	0.3332679738562091	0.17	0.0	20.689655189999996	1.0	1.0
CLN2_1_p_r1	0.5687830687830688	0.6011396011396012	0.5815384615384616	0.5	0.4673913043478261	0.391304347826087	0.329004329004329	0.35714285714285715	0.3157894736842105	0.3333333333333333	0.43790849673202614	0.2853501274553907	0.3157894736842105	0.0781	55.17241383999999	0.0	0.0
CLN2_1_p_r2	0.4126984126984127	0.38746438746438744	0.3569230769230769	0.44666666666666666	0.4927536231884058	0.33992094861660077	0.27705627705627706	0.26666666666666666	0.23684210526315788	0.42105263157894735	0.5947712418300654	0.3579291365669075	0.23684210526315788	0.0021	55.17241383999999	1.0	1.0
CLN2_2_p_r1	0.38095238095238093	0.3732193732193732	0.4153846153846154	0.48333333333333334	0.5398550724637681	0.5138339920948617	0.5194805194805194	0.5904761904761905	0.6421052631578947	0.695906432748538	0.6797385620915033	0.3226870595291648	0.3732193732193732	0.4144	6.896551729999999	0.0	0.0
CLN2_2_p_r2	0.5793650793650794	0.603988603988604	0.49538461538461537	0.37	0.26811594202898553	0.3241106719367589	0.4025974025974026	0.48095238095238096	0.5578947368421052	0.5555555555555556	0.6209150326797386	0.35279909065075304	0.26811594202898553	0.0099	27.586206919999995	0.0	0.0
ELM1_2_p_r1	0.6904761904761905	0.6353276353276354	0.6276923076923077	0.66	0.6557971014492754	0.616600790513834	0.5670995670995671	0.5714285714285714	0.531578947368421	0.4327485380116959	0.43790849673202614	0.2577276524644946	0.4327485380116959	0.8976	62.06896556999999	1.0	1.0
ELM1_2_p_r2	0.582010582010582	0.5555555555555556	0.5446153846153846	0.5266666666666666	0.44565217391304346	0.48616600790513836	0.5930735930735931	0.7380952380952381	0.7263157894736842	0.6374269005847953	0.5490196078431373	0.2924430641821947	0.44565217391304346	0.9504	27.586206919999995	0.0	0.0
SWE1_1_p_r1	0.43915343915343913	0.3646723646723647	0.38461538461538464	0.43	0.44565217391304346	0.5612648221343873	0.696969696969697	0.7	0.6789473684210526	0.5614035087719298	0.41830065359477125	0.33532763532763527	0.3646723646723647	0.337	6.896551729999999	0.0	0.0
