ORF,AA13vAA17,AA13vAS15,AA13vAS16,AA17vAS15,AA17vAS16,AS15vAS16
PF3D7_0710200,0.444815633,1.164600829,1.898006705,1.080163234,2.036274578,1.588886899
PF3D7_0710300,0.606473234,0.591075473,2.051069066,0.700300148,1.822023074,2.205275434
PF3D7_0710500,0.506267776,0.510411234,0.761960882,0.413969917,0.853260248,0.560716641
PF3D7_0710600,1.264302928,1.519144884,1.682165954,0.984021341,1.418910199,1.482679731
PF3D7_0710700,1.765845013,2.953599824,2.93508952,2.49913984,3.29893249,2.655124162
PF3D7_0710800,1.588053198,2.862188051,2.68211596,1.965239033,2.344258697,3.24160265
PF3D7_0710900,1.163994064,1.806120463,1.850911959,1.260291183,1.503503487,1.886493458
PF3D7_0711000,0.649160911,0.991303897,1.225916974,0.842008859,1.277302903,0.968319565
PF3D7_0711100,1.680438954,2.974165728,2.332787183,2.590545315,2.542769495,1.844250862
PF3D7_0711200,2.090867357,2.240628958,3.757600099,1.703005872,3.993601077,3.567959678
PF3D7_0711300,2.062934213,3.493020103,2.715633278,2.699478976,2.87778028,2.581809804
PF3D7_0711400,0.798864408,1.145993278,1.796226807,1.083685203,1.887509081,1.245606718
PF3D7_0711500,1.851018032,2.116244221,2.349769875,0.799368519,2.197531556,2.001096138
PF3D7_0713400,2.786511018,2.936959055,2.553193703,1.328123201,1.923714268,2.410922834
PF3D7_0713500,2.656508454,3.004862566,2.812589876,1.217764408,2.479458815,3.061560463
PF3D7_0713600,2.547440645,2.211939313,1.817983086,0.972469696,2.79361137,2.548809617
PF3D7_0713700,1.092269551,1.265999218,1.52354874,0.763538113,1.724991892,1.456316043
